"kegg","sp","trans","qlen","slen","bitscore","length","nident","pident","evalue","ppos","cov","ko"
"cim:CIMG_07593","Q1DQ20","TRINITY_DN9429_c0_g1_i1",1558,398,563,385,271,70.39,0,88.05,0.680904522613065,"ko:K03257"
"cim:CIMG_07894","Q1DP69","TRINITY_DN9626_c0_g1_i1",2438,545,612,434,276,63.59,0,82.03,0.506422018348624,"ko:K12823"
"cim:CIMG_10056","Q1DI07","TRINITY_DN9075_c0_g1_i3",1706,443,570,397,264,66.5,0,82.62,0.595936794582393,"ko:K12812"
"cim:CIMG_10056","Q1DI07","TRINITY_DN9075_c0_g1_i2",1557,443,571,397,264,66.5,0,82.62,0.595936794582393,"ko:K12812"
"cin:445635","O02367","TRINITY_DN7877_c0_g1_i1",811,149,144,143,75,52.45,3e-41,69.23,0.503355704697987,"ko:K02183"
"cin:445635","O02367","TRINITY_DN9426_c0_g1_i1",1224,149,293,149,146,97.99,4e-97,99.33,0.979865771812081,"ko:K02183"
"cin:445635","O02367","TRINITY_DN9151_c0_g1_i1",1101,149,200,146,95,65.07,2e-61,83.56,0.63758389261745,"ko:K02183"
"cin:445644","Q8T888","TRINITY_DN16198_c0_g1_i1",629,190,200,180,139,77.22,7e-63,84.44,0.731578947368421,"ko:K10411"
"cin:445686","Q8I7D9","TRINITY_DN8827_c0_g1_i1",618,68,90.5,66,57,86.36,5e-22,92.42,0.838235294117647,"ko:K07342"
"cin:445688","Q8I7D6","TRINITY_DN14986_c0_g1_i1",362,151,162,108,80,74.07,3e-50,82.41,0.529801324503311,"ko:K02953"
"cin:445688","Q8I7D6","TRINITY_DN8391_c0_g1_i1",556,151,273,151,129,85.43,2e-92,95.36,0.854304635761589,"ko:K02953"
"cin:445689","Q8I7D5","TRINITY_DN7764_c0_g1_i1",496,143,260,143,125,87.41,6e-88,93.01,0.874125874125874,"ko:K02973"
"cit:4271125","Q09MF1","TRINITY_DN4429_c0_g1_i1",1514,508,501,507,262,51.68,1e-171,65.88,0.515748031496063,"ko:K02704"
"cit:4271129","Q09ME7","TRINITY_DN1635_c0_g1_i1",683,215,296,216,141,65.28,8e-100,76.85,0.655813953488372,"ko:K02635"
"cit:4271200","Q09MI3","TRINITY_DN7881_c0_g1_i1",1089,353,540,336,264,78.57,0,88.1,0.747875354107649,"ko:K02706"
"cit:4271201","Q09MI2","TRINITY_DN8116_c0_g1_i1",1366,474,476,445,277,62.25,3e-163,76.63,0.584388185654008,"ko:K02705"
"cit:4271212","Q09MH1","TRINITY_DN9596_c0_g1_i1",1802,498,573,455,316,69.45,0,79.78,0.634538152610442,"ko:K02112"
"cit:4271212","Q09MH1","TRINITY_DN2467_c0_g1_i1",1975,498,443,369,250,67.75,4e-147,77.24,0.502008032128514,"ko:K02112"
"cit:4271212","Q09MH1","TRINITY_DN2467_c0_g2_i1",1975,498,443,369,250,67.75,4e-147,77.24,0.502008032128514,"ko:K02112"
"cit:4271240","Q09MJ8","TRINITY_DN24979_c0_g1_i1",1067,353,482,337,261,77.45,6e-169,86.94,0.739376770538244,"ko:K02703"
"cja:CJA_0207","B3PGF2","TRINITY_DN9562_c0_g1_i1",1944,384,390,372,197,52.96,4e-128,74.19,0.513020833333333,"ko:K00789"
"cja:CJA_1983","B3PHI3","TRINITY_DN9267_c0_g1_i2",1329,327,336,331,183,55.29,8e-111,70.69,0.559633027522936,"ko:K00024"
"cja:CJA_2225","B3PJB3","TRINITY_DN9573_c0_g1_i1",1574,429,402,434,222,51.15,9e-134,67.28,0.517482517482518,"ko:K01689"
"cja:CJA_3347","B3PF33","TRINITY_DN8020_c0_g1_i1",2247,640,718,601,382,63.56,0,77.37,0.596875,"ko:K04043"
"cja:CJA_3811","B3PIS9","TRINITY_DN9485_c0_g1_i1",1847,514,560,506,277,54.74,0,73.52,0.538910505836576,"ko:K02111"
"cja:CJA_3826","B3PIU4","TRINITY_DN21870_c0_g1_i1",297,45,48.9,39,25,64.1,8e-08,76.92,0.555555555555556,"ko:K02914"
"cjc:100388372","Q2I6W4","TRINITY_DN9618_c0_g1_i2",2071,527,715,503,340,67.59,0,79.13,0.645161290322581,"ko:K03781"
"cjc:100391793","Q32QL6","TRINITY_DN7177_c0_g1_i1",976,197,200,171,100,58.48,2e-61,71.93,0.50761421319797,"ko:K05361"
"cjc:100392531","A0SXL6","TRINITY_DN9164_c0_g1_i1",3013,858,1329,859,662,77.07,0,86.15,0.771561771561772,"ko:K03234"
"cjc:100394558","B0KW94","TRINITY_DN9087_c0_g1_i1",847,264,374,242,189,78.1,6e-129,91.32,0.715909090909091,"ko:K02984"
"cjc:100409274","Q2QLG4","TRINITY_DN9295_c0_g1_i1",1732,286,361,284,182,64.08,2e-119,77.46,0.636363636363636,"ko:K10364"
"cjc:103790339","Q32QL6","TRINITY_DN7177_c0_g1_i1",976,197,200,171,100,58.48,2e-61,71.93,0.50761421319797,"ko:K05361"
"cjd:JJD26997_0112","A7H1H9","TRINITY_DN9485_c0_g1_i1",1847,501,608,498,301,60.44,0,76.91,0.600798403193613,"ko:K02111"
"cjd:JJD26997_0114","A7H1I1","TRINITY_DN9596_c0_g1_i1",1802,484,620,455,327,71.87,0,82.2,0.675619834710744,"ko:K02112"
"cjd:JJD26997_1258","A7H484","TRINITY_DN8020_c0_g1_i1",2247,623,649,600,337,56.17,0,73,0.540930979133226,"ko:K04043"
"cje:Cj0759","O69298","TRINITY_DN8020_c0_g1_i1",2247,623,652,600,338,56.33,0,73.33,0.542536115569823,"ko:K04043"
"cje:Cj0961c","Q9PNX4","TRINITY_DN21870_c0_g1_i1",297,44,48.5,39,25,64.1,1e-07,74.36,0.568181818181818,"ko:K02914"
"cje:Cj1578c","Q0P850","TRINITY_DN7353_c0_g1_i1",810,167,193,142,85,59.86,9e-60,76.76,0.508982035928144,"ko:K00331"
"cjj:CJJ81176_0140","A1VXI8","TRINITY_DN9485_c0_g1_i1",1847,501,610,498,303,60.84,0,77.11,0.604790419161677,"ko:K02111"
"cjk:jk1483","Q4JU51","TRINITY_DN9573_c0_g1_i1",1574,425,419,434,227,52.3,1e-140,70.28,0.534117647058823,"ko:K01689"
"cjo:107313166","Q9I962","TRINITY_DN8422_c0_g1_i2",1750,465,578,467,335,71.73,0,78.37,0.720430107526882,"ko:K04676"
"cjo:107318631","Q7ZUB2","TRINITY_DN9098_c0_g1_i1",501,135,229,131,112,85.5,1e-75,90.08,0.82962962962963,"ko:K02962"
"cjo:107318960","Q05025","TRINITY_DN9495_c0_g1_i2",1244,333,502,331,249,75.23,3e-176,87.01,0.747747747747748,"ko:K00134"
"cjo:107318960","Q05025","TRINITY_DN9495_c0_g1_i1",1260,333,502,332,248,74.7,5e-176,87.05,0.744744744744745,"ko:K00134"
"cjo:107323220","Q66T82","TRINITY_DN3031_c0_g1_i1",1496,263,265,271,136,50.18,2e-83,64.21,0.517110266159696,"ko:K10436"
"cjo:107323623","Q9DDF1","TRINITY_DN7720_c0_g1_i1",969,262,308,255,145,56.86,2e-102,74.9,0.553435114503817,"ko:K04802"
"cjo:804658","Q8SEW8","TRINITY_DN25050_c0_g1_i1",1890,261,293,234,152,64.96,2e-92,81.2,0.582375478927203,"ko:K02262"
"cjo:804670","P24984","TRINITY_DN25050_c0_g1_i1",1890,516,534,364,277,76.1,0,88.46,0.536821705426357,"ko:K02256"
"cjr:CJE0100","Q5HX61","TRINITY_DN9485_c0_g1_i1",1847,501,610,498,303,60.84,0,77.11,0.604790419161677,"ko:K02111"
"cjr:CJE0102","Q5HX59","TRINITY_DN9596_c0_g1_i1",1802,465,616,453,324,71.52,0,82.34,0.696774193548387,"ko:K02112"
"cjr:CJE0850","Q5HV33","TRINITY_DN8020_c0_g1_i1",2247,623,650,600,337,56.17,0,73.17,0.540930979133226,"ko:K04043"
"cjr:CJE1749","Q5HSL3","TRINITY_DN7353_c0_g1_i1",810,167,193,142,85,59.86,9e-60,76.76,0.508982035928144,"ko:K00331"
"cju:C8J_1475","A8FNN6","TRINITY_DN7353_c0_g1_i1",810,167,193,142,85,59.86,9e-60,76.76,0.508982035928144,"ko:K00331"
"ckl:CKL_0902","A5N6M2","TRINITY_DN8020_c0_g1_i1",2247,618,680,603,357,59.2,0,74.3,0.577669902912621,"ko:K04043"
"ckl:CKL_3378","A5N2N5","TRINITY_DN9573_c0_g1_i1",1574,430,451,437,235,53.78,9e-153,70.71,0.546511627906977,"ko:K01689"
"ckl:CKL_3688","A5N3H7","TRINITY_DN9596_c0_g1_i1",1802,464,586,450,304,67.56,0,81.78,0.655172413793103,"ko:K02112"
"ckl:CKL_3690","A5N3H9","TRINITY_DN9485_c0_g1_i1",1847,504,601,502,295,58.76,0,76.89,0.58531746031746,"ko:K02111"
"cko:CKO_00070","A8ACN6","TRINITY_DN9596_c0_g1_i1",1802,460,590,448,311,69.42,0,81.25,0.676086956521739,"ko:K02112"
"cko:CKO_03373","A8ALU3","TRINITY_DN8020_c0_g1_i1",2247,638,756,603,385,63.85,0,79.1,0.603448275862069,"ko:K04043"
"cko:CKO_04317","A8APG1","TRINITY_DN9562_c0_g1_i1",1944,384,377,370,194,52.43,5e-123,73.78,0.505208333333333,"ko:K00789"
"cko:CKO_04641","A8AQC8","TRINITY_DN9446_c0_g1_i1",1272,312,343,313,187,59.74,4e-114,72.2,0.599358974358974,"ko:K00024"
"ckp:ckrop_0551","C4LHL7","TRINITY_DN9573_c0_g1_i1",1574,427,422,434,228,52.53,1e-141,70.28,0.533957845433255,"ko:K01689"
"ckr:CKR_3255","B9DX63","TRINITY_DN9485_c0_g1_i1",1847,504,604,502,296,58.96,0,77.09,0.587301587301587,"ko:K02111"
"cla:CLA_0193","B9KES1","TRINITY_DN9485_c0_g1_i1",1847,501,602,498,303,60.84,0,76.31,0.604790419161677,"ko:K02111"
"cla:CLA_0195","B9KES3","TRINITY_DN9596_c0_g1_i1",1802,484,609,456,321,70.39,0,81.58,0.663223140495868,"ko:K02112"
"cla:CLA_0553","B9KFQ2","TRINITY_DN21870_c0_g1_i1",297,44,46.2,39,23,58.97,8e-07,74.36,0.522727272727273,"ko:K02914"
"cla:CLA_0935","B9KCH0","TRINITY_DN8020_c0_g1_i1",2247,622,654,598,338,56.52,0,73.24,0.543408360128617,"ko:K04043"
"cli:Clim_0029","B3EDQ7","TRINITY_DN9596_c0_g1_i1",1802,462,607,449,316,70.38,0,82.18,0.683982683982684,"ko:K02112"
"cli:Clim_0186","B3EEQ2","TRINITY_DN9573_c0_g1_i1",1574,437,424,446,227,50.9,4e-142,68.39,0.519450800915332,"ko:K01689"
"cli:Clim_0761","B3EHR1","TRINITY_DN8020_c0_g1_i1",2247,639,681,592,343,57.94,0,78.21,0.536776212832551,"ko:K04043"
"cli:Clim_1642","B3EDY3","TRINITY_DN9231_c0_g1_i1",1572,471,589,473,300,63.42,0,74.63,0.636942675159236,"ko:K01251"
"cli:Clim_2332","B3EHU6","TRINITY_DN9485_c0_g1_i1",1847,526,625,520,311,59.81,0,75.38,0.591254752851711,"ko:K02111"
"clu:CLUG_00957","C4XYD5","TRINITY_DN9087_c0_g1_i1",847,256,271,241,135,56.02,6e-89,79.25,0.52734375,"ko:K02984"
"clu:CLUG_01478","C4XZU6","TRINITY_DN9087_c0_g1_i1",847,256,271,241,135,56.02,8e-89,79.25,0.52734375,"ko:K02984"
"clv:102085712","P00021","TRINITY_DN8950_c0_g1_i1",778,105,181,103,85,82.52,7e-56,90.29,0.80952380952381,"ko:K08738"
"clv:102089934","O57479","TRINITY_DN9495_c0_g1_i1",1260,333,495,332,244,73.49,2e-173,86.75,0.732732732732733,"ko:K00134"
"clv:102089934","O57479","TRINITY_DN9495_c0_g1_i2",1244,333,496,331,245,74.02,1e-173,86.71,0.735735735735736,"ko:K00134"
"clv:102089990","Q90380","TRINITY_DN561_c0_g1_i1",671,153,212,151,99,65.56,5e-68,76.82,0.647058823529412,"ko:K00940"
"clv:102089990","Q90380","TRINITY_DN8388_c0_g1_i1",813,153,225,148,115,77.7,2e-72,87.84,0.751633986928105,"ko:K00940"
"clv:102094349","B5LVL2","TRINITY_DN19319_c0_g1_i1",339,85,153,85,72,84.71,2e-47,94.12,0.847058823529412,"ko:K12162"
"cma:Cmaq_1645","A8M9Z7","TRINITY_DN9071_c0_g1_i1",535,132,106,115,68,59.13,1e-27,76.52,0.515151515151515,"ko:K02948"
"cma:Cmaq_1645","A8M9Z7","TRINITY_DN9071_c0_g1_i2",535,132,106,115,68,59.13,1e-27,76.52,0.515151515151515,"ko:K02948"
"cma:Cmaq_1749","A8MAJ5","TRINITY_DN5817_c0_g1_i1",528,130,137,130,66,50.77,1e-39,67.69,0.507692307692308,"ko:K02994"
"cme:CYME_CMM237C","P53500","TRINITY_DN9513_c2_g1_i1",717,377,420,215,196,91.16,4e-146,97.21,0.519893899204244,"ko:K05692"
"cme:CymeCp038","Q85G59","TRINITY_DN24979_c0_g1_i1",1067,360,477,344,260,75.58,5e-167,85.47,0.722222222222222,"ko:K02703"
"cme:CymeCp070","Q85G27","TRINITY_DN7881_c0_g1_i1",1089,351,550,340,274,80.59,0,88.24,0.780626780626781,"ko:K02706"
"cme:CymeCp081","Q85G16","TRINITY_DN1635_c0_g1_i1",683,215,293,216,142,65.74,6e-99,77.78,0.66046511627907,"ko:K02635"
"cme:CymeCp169","Q85FT2","TRINITY_DN2467_c0_g2_i1",1975,467,459,371,248,66.85,2e-153,77.63,0.531049250535332,"ko:K02112"
"cme:CymeCp169","Q85FT2","TRINITY_DN9596_c0_g1_i1",1802,467,585,452,310,68.58,0,80.09,0.663811563169165,"ko:K02112"
"cme:CymeCp169","Q85FT2","TRINITY_DN2467_c0_g1_i1",1975,467,459,371,248,66.85,2e-153,77.63,0.531049250535332,"ko:K02112"
"cme:CymeCp193","Q85FQ8","TRINITY_DN9485_c0_g1_i1",1847,495,567,500,294,58.8,0,74.4,0.593939393939394,"ko:K02111"
"cme:CymeCp197","Q85FQ4","TRINITY_DN13269_c0_g1_i1",235,38,52.4,34,25,73.53,3e-09,82.35,0.657894736842105,"ko:K02713"
"cmi:CMM_2263","A5CTA8","TRINITY_DN9573_c0_g1_i1",1574,426,432,434,235,54.15,2e-145,69.59,0.551643192488263,"ko:K01689"
"cms:CMS2456","B0RH60","TRINITY_DN9573_c0_g1_i1",1574,426,431,434,235,54.15,2e-145,69.59,0.551643192488263,"ko:K01689"
"cmu:TC_0083","Q9PLL6","TRINITY_DN9611_c0_g2_i2",3301,599,596,603,306,50.75,0,65.67,0.510851419031719,"ko:K01596"
"cmu:TC_0083","Q9PLL6","TRINITY_DN9611_c0_g2_i1",3300,599,596,603,306,50.75,0,65.67,0.510851419031719,"ko:K01596"
"cmu:TC_0675","P56836","TRINITY_DN8020_c0_g1_i1",2247,655,719,595,368,61.85,0,78.99,0.561832061068702,"ko:K04043"
"cmu:TC_0792","Q9PJN6","TRINITY_DN9495_c0_g1_i2",1244,335,369,332,194,58.43,9e-124,73.19,0.57910447761194,"ko:K00134"
"cmu:TC_0792","Q9PJN6","TRINITY_DN9495_c0_g1_i1",1260,335,369,333,194,58.26,1e-123,72.97,0.57910447761194,"ko:K00134"
"cnb:CNBA2670","P0CQ43","TRINITY_DN9923_c0_g1_i1",1321,216,226,166,114,68.67,2e-69,84.94,0.527777777777778,"ko:K07827"
"cnb:CNBA4200","P0CN85","TRINITY_DN9431_c1_g1_i1",1769,358,456,359,221,61.56,3e-155,71.87,0.61731843575419,"ko:K01915"
"cnb:CNBA7000","P0CQ97","TRINITY_DN9075_c0_g1_i2",1557,442,611,407,280,68.8,0,82.06,0.633484162895928,"ko:K12812"
"cnb:CNBA7000","P0CQ97","TRINITY_DN9075_c0_g1_i3",1706,442,610,407,280,68.8,0,82.06,0.633484162895928,"ko:K12812"
"cnb:CNBA7450","P0CQ71","TRINITY_DN9429_c0_g1_i1",1558,401,534,377,257,68.17,0,85.94,0.640897755610973,"ko:K03257"
"cnb:CNBA7450","P0CQ71","TRINITY_DN7983_c0_g1_i1",1655,401,546,383,279,72.85,0,85.12,0.695760598503741,"ko:K03257"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i14",1349,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i15",1404,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i7",1351,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i9",1390,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i16",1436,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9234_c0_g1_i1",1170,126,157,117,70,59.83,8e-45,80.34,0.555555555555556,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i11",1363,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i6",1365,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i2",1438,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i8",1477,126,149,117,66,56.41,2e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i10",1388,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i3",1450,126,149,117,66,56.41,1e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i5",1048,126,150,117,66,56.41,8e-43,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i1",1491,126,149,117,66,56.41,2e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i12",1452,126,149,117,66,56.41,2e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7760","P0CO55","TRINITY_DN9481_c3_g1_i13",1475,126,149,117,66,56.41,2e-41,80.34,0.523809523809524,"ko:K08341"
"cnb:CNBA7840","P0CS17","TRINITY_DN8301_c0_g1_i1",926,169,232,151,103,68.21,2e-74,86.75,0.609467455621302,"ko:K10573"
"cnb:CNBB0860","P0CQ59","TRINITY_DN9087_c0_g1_i1",847,259,286,243,146,60.08,9e-95,78.6,0.563706563706564,"ko:K02984"
"cnb:CNBB2270","P0CR31","TRINITY_DN4628_c0_g1_i1",989,189,263,192,129,67.19,5e-86,79.69,0.682539682539683,"ko:K07953"
"cnb:CNBB5140","P0CO03","TRINITY_DN9165_c0_g1_i1",731,139,162,97,75,77.32,2e-48,93.81,0.539568345323741,"ko:K11252"
"cnb:CNBB5140","P0CO03","TRINITY_DN9165_c0_g1_i2",745,139,162,97,75,77.32,3e-48,93.81,0.539568345323741,"ko:K11252"
"cnb:CNBB5140","P0CO03","TRINITY_DN15080_c0_g1_i1",269,139,154,89,71,79.78,1e-47,96.63,0.510791366906475,"ko:K11252"
"cnb:CNBB5150","P0CN99","TRINITY_DN8250_c0_g1_i1",2036,131,145,111,73,65.77,4e-39,78.38,0.557251908396947,"ko:K11251"
"cnb:CNBB5150","P0CN99","TRINITY_DN25720_c0_g1_i1",575,131,163,104,77,74.04,2e-49,86.54,0.587786259541985,"ko:K11251"
"cnb:CNBB5150","P0CN99","TRINITY_DN7867_c0_g1_i1",824,131,178,109,89,81.65,3e-54,91.74,0.679389312977099,"ko:K11251"
"cnb:CNBC0850","P0CQ73","TRINITY_DN7983_c0_g1_i1",1655,396,541,398,276,69.35,0,83.17,0.696969696969697,"ko:K13025"
"cnb:CNBC0850","P0CQ73","TRINITY_DN9429_c0_g1_i1",1558,396,701,386,328,84.97,0,94.3,0.828282828282828,"ko:K13025"
"cnb:CNBE0620","P0CP87","TRINITY_DN3888_c0_g1_i1",437,167,199,139,90,64.75,4e-64,81.29,0.538922155688623,"ko:K12734"
"cnb:CNBE2370","P0CP97","TRINITY_DN8050_c0_g1_i1",964,141,148,133,79,59.4,4e-42,71.43,0.560283687943262,"ko:K09569"
"cnb:CNBF2050","P0CR61","TRINITY_DN7979_c0_g1_i1",704,144,126,146,73,50,1e-34,63.7,0.506944444444444,"ko:K17918"
"cnb:CNBG1540","P0CM17","TRINITY_DN6858_c0_g1_i1",660,182,214,166,99,59.64,1e-68,78.31,0.543956043956044,"ko:K07937"
"cnb:CNBG1540","P0CM17","TRINITY_DN14631_c0_g1_i1",357,182,214,118,95,80.51,3e-70,94.07,0.521978021978022,"ko:K07937"
"cnb:CNBG1540","P0CM17","TRINITY_DN8426_c0_g1_i1",867,182,216,147,96,65.31,4e-68,80.95,0.527472527472527,"ko:K07937"
"cnb:CNBG1540","P0CM17","TRINITY_DN6858_c0_g2_i1",660,182,214,166,99,59.64,1e-68,78.31,0.543956043956044,"ko:K07937"
"cnb:CNBG1540","P0CM17","TRINITY_DN8940_c0_g1_i1",1307,182,329,178,157,88.2,4e-110,93.26,0.862637362637363,"ko:K07937"
"cnb:CNBG1540","P0CM17","TRINITY_DN9138_c0_g1_i1",1825,182,276,179,149,83.24,2e-87,90.5,0.818681318681319,"ko:K07937"
"cnb:CNBG1540","P0CM17","TRINITY_DN8940_c0_g1_i2",1123,182,328,179,156,87.15,1e-110,93.3,0.857142857142857,"ko:K07937"
"cnb:CNBG1970","P0CS37","TRINITY_DN10058_c0_g1_i1",1668,435,473,420,225,53.57,4e-161,69.29,0.517241379310345,"ko:K10752"
"cnb:CNBG3280","P0CQ53","TRINITY_DN8794_c0_g1_i1",600,127,140,107,78,72.9,1e-40,84.11,0.614173228346457,"ko:K12845"
"cnb:CNBG3730","P0CP79","TRINITY_DN9266_c1_g2_i1",735,231,219,220,126,57.27,2e-69,67.73,0.545454545454545,"ko:K03768"
"cnb:CNBI2690","P0CO01","TRINITY_DN8592_c0_g1_i1",767,138,161,96,76,79.17,7e-48,91.67,0.550724637681159,"ko:K11251"
"cnb:CNBJ0920","P0CO05","TRINITY_DN6396_c0_g1_i1",1145,138,228,138,126,91.3,2e-72,95.65,0.91304347826087,"ko:K11253"
"cnb:CNBJ0970","P0CP83","TRINITY_DN9266_c1_g2_i1",735,179,169,165,94,56.97,1e-50,70.3,0.525139664804469,"ko:K09567"
"cnb:CNBJ0970","P0CP83","TRINITY_DN9399_c0_g1_i1",856,179,179,169,99,58.58,9e-54,72.78,0.553072625698324,"ko:K09567"
"cnb:CNBM1160","P0CN31","TRINITY_DN9609_c0_g1_i1",2660,459,709,447,332,74.27,0,86.58,0.723311546840959,"ko:K03231"
"cne:CNA03330","P40909","TRINITY_DN8993_c1_g1_i10",624,129,151,77,73,94.81,8e-45,98.7,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN2123_c0_g1_i1",300,129,153,77,73,94.81,3e-47,100,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN8993_c1_g1_i2",371,129,151,77,73,94.81,3e-46,98.7,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN8268_c0_g1_i1",465,129,231,123,109,88.62,5e-77,95.12,0.844961240310077,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN8993_c1_g1_i4",527,129,151,77,73,94.81,3e-45,98.7,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN937_c0_g1_i1",675,129,149,76,73,96.05,6e-44,98.68,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN17244_c0_g1_i1",342,129,136,68,65,95.59,2e-40,100,0.503875968992248,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN8993_c1_g1_i5",583,129,150,76,73,96.05,2e-44,98.68,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN8993_c1_g1_i11",474,129,151,77,73,94.81,2e-45,98.7,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN2123_c0_g2_i1",479,129,153,77,73,94.81,3e-46,100,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN8993_c1_g1_i10",624,129,151,77,73,94.81,8e-45,98.7,0.565891472868217,"ko:K02927"
"cne:CNA03330","P40909","TRINITY_DN2123_c0_g2_i1",479,129,153,77,73,94.81,3e-46,100,0.565891472868217,"ko:K02927"
"cne:CNB01800","P0CP94","TRINITY_DN3357_c0_g1_i1",542,108,137,108,64,59.26,9e-40,74.07,0.592592592592593,"ko:K09568"
"cne:CNE02370","P0CP96","TRINITY_DN8050_c0_g1_i1",964,141,149,133,79,59.4,3e-42,72.18,0.560283687943262,"ko:K09569"
"cne:CNF03160","P0CN74","TRINITY_DN9495_c0_g1_i2",1244,339,474,332,237,71.39,4e-165,84.04,0.699115044247788,"ko:K00134"
"cne:CNF03160","P0CN74","TRINITY_DN9495_c0_g1_i1",1260,339,473,332,236,71.08,2e-164,84.04,0.696165191740413,"ko:K00134"
"cne:CNH03570","Q5KD76","TRINITY_DN9341_c0_g1_i1",1091,187,168,184,94,51.09,1e-48,65.76,0.502673796791444,"ko:K08967"
"cno:NT01CX_0057","A0Q1R4","TRINITY_DN8020_c0_g1_i1",2247,617,668,603,345,57.21,0,74.46,0.559157212317666,"ko:K04043"
"cno:NT01CX_0516","A0Q2Y4","TRINITY_DN9562_c0_g1_i1",1944,391,422,370,209,56.49,1e-140,78.11,0.534526854219949,"ko:K00789"
"cno:NT01CX_0530","A0Q2Z4","TRINITY_DN9596_c0_g1_i1",1802,464,596,448,313,69.87,0,81.7,0.674568965517241,"ko:K02112"
"cno:NT01CX_0532","A0Q2Z6","TRINITY_DN9485_c0_g1_i1",1847,502,607,503,299,59.44,0,77.93,0.595617529880478,"ko:K02111"
"cno:NT01CX_1414","A0PYP4","TRINITY_DN9573_c0_g1_i1",1574,433,436,431,221,51.28,5e-147,71.23,0.510392609699769,"ko:K01689"
"cpa:CP_0123","Q9Z7T0","TRINITY_DN9495_c0_g1_i1",1260,335,372,335,201,60,3e-125,72.54,0.6,"ko:K00134"
"cpa:CP_0123","Q9Z7T0","TRINITY_DN9495_c0_g1_i2",1244,335,371,334,200,59.88,9e-125,72.75,0.597014925373134,"ko:K00134"
"cpa:CP_0251","P27542","TRINITY_DN8020_c0_g1_i1",2247,660,711,595,365,61.34,0,78.15,0.553030303030303,"ko:K04043"
"cpa:CP_1018","Q9Z755","TRINITY_DN9611_c0_g2_i1",3300,600,588,604,305,50.5,0,67.22,0.508333333333333,"ko:K01596"
"cpa:CP_1018","Q9Z755","TRINITY_DN9611_c0_g2_i2",3301,600,588,604,305,50.5,0,67.22,0.508333333333333,"ko:K01596"
"cpap:5878326","B1A920","TRINITY_DN9485_c0_g1_i1",1847,505,559,502,283,56.37,0,71.71,0.56039603960396,"ko:K02111"
"cpap:5878353","B1A931","TRINITY_DN8116_c0_g1_i1",1366,473,501,456,281,61.62,4e-173,76.1,0.594080338266385,"ko:K02705"
"cpap:5878371","B1A961","TRINITY_DN4429_c0_g1_i1",1514,508,501,507,261,51.48,9e-172,66.07,0.513779527559055,"ko:K02704"
"cpap:5878373","B1A930","TRINITY_DN7881_c0_g1_i1",1089,353,541,336,265,78.87,0,88.39,0.75070821529745,"ko:K02706"
